Muni_Eng,x,y,shem_yshuv,Pop_density,Madad_Gini,Socio_economic,accessibility,Avg_Lung_Men,Avg_Lung_Femal,Avg_Lung,NEAR_DIST
Aco,208355.974599999986822,758416.204900000011548,Aco,3105.500000000000000,0.3,2,125,14.400000000000000,6.400000000000000,25.399999999999999,1.321246330404445
Afula,229074.077400000009220,724175.697599999955855,Afula,6626.500000000000000,0.4,7,247,12.000000000000000,6.600000000000000,18.600000000000001,0.387891142
Ashdod,167280.233000000007451,635981.031100000021979,Ashdod,2964.800000000000182,0.4,5,171,50.399999999999999,24.600000000000001,31.800000000000001,0.157082961
Ashkelon,159009.883100000006380,619362.179600000032224,Ashkelon,3152.099999999999909,0.4,3,160,39.000000000000000,16.800000000000001,161.400000000000006,2.044438460576765
Bat Yam,176271.915399999998044,658010.152400000020862,Bat Yam,8879.500000000000000,0.3,2,144,59.399999999999999,34.000000000000000,104.700000000000003,0.214810592
Be'er Sheva,179830.390099999989616,574007.605300000053830,Be'er Sheva,1750.099999999999909,0.4,3,53,53.600000000000001,32.600000000000001,12.000000000000000,1.384515752956699
Be'er Ya'akov,185188.746299999998882,652587.453499999945052,Be'er Ya'akov,1751.700000000000045,0.4,5,170,51.200000000000003,25.399999999999999,0.8,0.441638552
Beit Shemesh,198424.927200000005541,626044.584999999962747,Beit Shemesh,0,0.4,1,156,5.600000000000000,4.200000000000000,198.400000000000006,1.629530710657310
Beitar Illit,211421.429999999993015,622705.800000000046566,Beitar Illit,25709.400000000001455,0.4,2,252,0.2,0.6,26.199999999999999,0.4605525
Dimona,208893.889499999990221,547246.713299999944866,Dimona,1809.200000000000045,0.4,6,188,22.600000000000001,12.000000000000000,34.600000000000001,0.686100807
Givatayim,182250.163200000009965,664187.869900000048801,Givatayim,8204.299999999999272,0.5,8,245,13.199999999999999,13.400000000000000,20.800000000000001,2.722174143799692
Hadera,192012.762900000001537,704864.753400000045076,Hadera,2663.500000000000000,0.4,4,69,25.199999999999999,12.600000000000000,0.8,0.795891941
Haifa,201055.272200000006706,745299.053100000019185,Haifa,2128.699999999999818,0.4,4,207,80.000000000000000,66.400000000000006,146.400000000000006,0.296993152
Herzliya,183552.581299999990733,675086.177499999990687,Herzliya,2291.400000000000091,0.3,1,50,24.600000000000001,19.000000000000000,13.199999999999999,0.918739245
Hod Hasharon,189665.282899999991059,672702.891900000046007,Hod Hasharon,10017.700000000000728,0.4,6,248,9.800000000000001,7.400000000000000,9.800000000000001,1.613847336150746
Holon,179681.246400000003632,657577.038900000043213,Holon,1130.500000000000000,0.4,3,89,61.200000000000003,39.399999999999999,144.199999999999989,1.116037471857777
